audio_path,model,true_transcription,predicted_transcription,latency,wer,mer,wil,wip,cer
labs/experiment_dataset/segment_9.wav,seamlessM4T_medium,this was a visualization done by fernando viegas and martin wattenberg two amazing visualization designers who looked at a weekend 's worth of twitter traffic,"This was a visualization done by Fernando V. Hess and Martin Wattenberg, two amazing visualization designers who looked at a weekend's worth of Twitter traffic.",24.887348175048828,0.4,0.38461538461538464,0.5904,0.4096,0.08860759493670886
labs/experiment_dataset/segment_8.wav,seamlessM4T_medium,and that is that the more tightly linked we 've become to each other the harder it is for each of us to remain independent,"And that is that the more closely we are connected to each other, the harder it is for each of us to remain independent.",6.718886137008667,0.28,0.28,0.45999999999999996,0.54,0.1885245901639344
labs/experiment_dataset/segment_19.wav,seamlessM4T_medium,now,"Now, now.",0.9118669033050537,2.0,1.0,1.0,0.0,2.0
labs/experiment_dataset/segment_18.wav,seamlessM4T_medium,where one side of this little box if the animal goes there the animal gets a pulse of light in order to make different cells in the brain sensitive to light <unk>,"Where one side of this little box, if the animal goes there, it only gets a pulse of light, and we're going to make different cells in the brain sensitive to light.",5.138498067855835,0.34375,0.3333333333333333,0.52734375,0.47265625,0.18518518518518517
labs/experiment_dataset/segment_3.wav,seamlessM4T_medium,our scientists then use this to go back to another piece of that tissue and do what 's called laser scanning microdissection <unk> so the technician takes the instructions they scribe along a place there <unk> and then the laser actually cuts,"Our scientists then use this to go back to another piece of that tissue and do what's called laser scanning microdisection. So the technician takes the instructions, they scrape along a place there, and then the laser actually cuts the tissue.",8.991267204284668,0.2857142857142857,0.2727272727272727,0.40534262485482,0.59465737514518,0.128099173553719
labs/experiment_dataset/segment_15.wav,seamlessM4T_medium,shortly after we published i got a three word text from johannes,"Shortly after we published it, I got a three-word text from Johannes.",2.490852117538452,0.5,0.46153846153846156,0.6597222222222221,0.34027777777777785,0.125
labs/experiment_dataset/segment_14.wav,seamlessM4T_medium,the people 's report card brings together all this data into a simple framework that we 'll all be familiar with from our school days to hold them to account,The People's Record Poll Card brings together all this data into a simple framework that we'll all be familiar with from our school days to hold them to account.,5.2569310665130615,0.26666666666666666,0.26666666666666666,0.44367816091954027,0.5563218390804597,0.08917197452229299
labs/experiment_dataset/segment_2.wav,seamlessM4T_medium,if you 're into knitting you can find someone who is killing it knitting <unk> and you can you can learn from them <unk> it 's wild and that 's what this whole day is about,"If you're into knitting, you can find someone who's killing it, knitting, and you can learn from them. It's wild. And that's what this whole day is about.",5.713149785995483,0.5555555555555556,0.5555555555555556,0.746031746031746,0.25396825396825395,0.18604651162790697
labs/experiment_dataset/segment_0.wav,seamlessM4T_medium,so throughout this talk i 've mentioned a few times the special case of uganda and the fact that it 's the only country in sub saharan africa with successful prevention it 's been widely,"So throughout this talk, I've mentioned a few times the special case of Uganda, and the fact that it's the only country in sub-Saharan Africa with a successful prevention, has been widely criticized.",6.47587776184082,0.42857142857142855,0.4166666666666667,0.6181818181818182,0.3818181818181818,0.15591397849462366
labs/experiment_dataset/segment_16.wav,seamlessM4T_medium,and where they don 't where they may actually undermine values and attitudes worth caring about but to have this debate,"And where they don't, where they may actually undermine values and attitudes worth caring about, but to have this debate.",4.487622976303101,0.23809523809523808,0.23809523809523808,0.3904761904761904,0.6095238095238096,0.04201680672268908
labs/experiment_dataset/segment_17.wav,seamlessM4T_medium,medicine it 's a pill called bidil to treat heart failure in <unk>,It's a pill called BIDIL to treat heart failure in the brain.,2.6746509075164795,0.46153846153846156,0.42857142857142855,0.5897435897435898,0.41025641025641024,0.3939393939393939
labs/experiment_dataset/segment_1.wav,seamlessM4T_medium,and the house next to it and actually every house on the block on both sides of the street maybe a school thrown in and some you know a church they are just incredibly expensive,"And the house next to it, and actually every house on the block, on both sides of the street, maybe a school thrown in and a church, they're just incredibly expensive.",5.677026033401489,0.3142857142857143,0.3142857142857143,0.4691244239631337,0.5308755760368663,0.12429378531073447
labs/experiment_dataset/segment_5.wav,seamlessM4T_medium,on the order of two thousand two hundred videos covering everything from basic arithmetic all the way to to vector calculus and some of the stuff that you saw,"I'm on the order of 2,200 videos covering everything from basic arithmetic all the way to vector calculus and some of the stuff that you saw.",5.229089021682739,0.2413793103448276,0.23333333333333334,0.2984084880636605,0.7015915119363395,0.20253164556962025
labs/experiment_dataset/segment_13.wav,seamlessM4T_medium,<unk> salty crispy delicious snacks what 's sitting in the corner of the room makes not a damn bit of difference to your gustatory experience,"Salty, crispy, delicious snacks, what's sitting in the corner of the room makes not a damn bit of difference to your tasty experience.",4.933039665222168,0.32,0.32,0.4973913043478261,0.5026086956521739,0.1276595744680851
labs/experiment_dataset/segment_12.wav,seamlessM4T_medium,<unk> the greatest innovations and developments,It's the greatest innovation and development.,1.5896849632263184,0.5,0.5,0.75,0.25,0.14893617021276595
labs/experiment_dataset/segment_4.wav,seamlessM4T_medium,<unk> a palestinian worker who spent two decades in israel,Palestinian workers who spent two decades in Israel.,2.0627152919769287,0.5,0.5,0.6875,0.3125,0.20689655172413793
labs/experiment_dataset/segment_6.wav,seamlessM4T_medium,to those who already are allow me to illustrate this point by taking you to this village called budrus,Let me illustrate this point by taking you to this village called Budrus.,3.4874491691589355,0.42105263157894735,0.42105263157894735,0.5101214574898785,0.4898785425101215,0.3333333333333333
