audio_path,model,true_transcription,predicted_transcription,latency,wer,mer,wil,wip,cer
labs/experiment_dataset/segment_9.wav,faster_whisper_base.en_cpu_int8,this was a visualization done by fernando viegas and martin wattenberg two amazing visualization designers who looked at a weekend 's worth of twitter traffic," This was a visualization done by Fernando VHS and Martin Wadenberg, two amazing visualization designers who looked at a weekend's worth of Twitter traffic",0.9589951038360596,0.32,0.32,0.5183333333333333,0.48166666666666674,0.0949367088607595
labs/experiment_dataset/segment_8.wav,faster_whisper_base.en_cpu_int8,and that is that the more tightly linked we 've become to each other the harder it is for each of us to remain independent," And that is that the more tightly linked we come to each other,  the harder it is for each of us to remain independent.",0.8773040771484375,0.2,0.2,0.33333333333333326,0.6666666666666667,0.08196721311475409
labs/experiment_dataset/segment_19.wav,faster_whisper_base.en_cpu_int8,now, Now.,0.7323811054229736,1.0,1.0,1.0,0.0,0.6666666666666666
labs/experiment_dataset/segment_18.wav,faster_whisper_base.en_cpu_int8,where one side of this little box if the animal goes there the animal gets a pulse of light in order to make different cells in the brain sensitive to light <unk>," where one side of this little box, if the animal goes there, they only get a pulse of light,  and we're going to make different cells in the brain sensitive to light.",0.9483861923217773,0.34375,0.3333333333333333,0.52734375,0.47265625,0.17901234567901234
labs/experiment_dataset/segment_3.wav,faster_whisper_base.en_cpu_int8,our scientists then use this to go back to another piece of that tissue and do what 's called laser scanning microdissection <unk> so the technician takes the instructions they scribe along a place there <unk> and then the laser actually cuts," Our scientists then use this to go back to another piece of that tissue  and do what's called laser scanning micro dissection.  So the technician takes the instructions, they scribe along a place there,  and then the laser actually cuts...",1.015334129333496,0.23809523809523808,0.23809523809523808,0.3904761904761904,0.6095238095238096,0.08677685950413223
labs/experiment_dataset/segment_15.wav,faster_whisper_base.en_cpu_int8,shortly after we published i got a three word text from johannes, Shortly after we published I got a three word text from Johannes.,0.8032999038696289,0.25,0.25,0.4375,0.5625,0.0625
labs/experiment_dataset/segment_14.wav,faster_whisper_base.en_cpu_int8,the people 's report card brings together all this data into a simple framework that we 'll all be familiar with from our school days to hold them to account, The People's Record port card brings together all this data into a simple framework that  will all be familiar with from our school days to hold them to account.,0.9023268222808838,0.23333333333333334,0.23333333333333334,0.3919540229885057,0.6080459770114943,0.08917197452229299
labs/experiment_dataset/segment_2.wav,faster_whisper_base.en_cpu_int8,if you 're into knitting you can find someone who is killing it knitting <unk> and you can you can learn from them <unk> it 's wild and that 's what this whole day is about," If you're into knitting, you can find someone who is killing it, knitting, and you can learn from them.  It's wild. And that's what this whole day is about.",13.102341175079346,0.5,0.5,0.6896551724137931,0.3103448275862069,0.1744186046511628
labs/experiment_dataset/segment_0.wav,faster_whisper_base.en_cpu_int8,so throughout this talk i 've mentioned a few times the special case of uganda and the fact that it 's the only country in sub saharan africa with successful prevention it 's been widely," So throughout this talk, I've mentioned a few times  a special case of Uganda and the fact that it's the only country  in Sub-Saharan Africa with a successful prevention.  It's been widely...",0.9542751312255859,0.45714285714285713,0.45714285714285713,0.6776785714285715,0.32232142857142854,0.12365591397849462
labs/experiment_dataset/segment_16.wav,faster_whisper_base.en_cpu_int8,and where they don 't where they may actually undermine values and attitudes worth caring about but to have this debate," and where they don't, where they may actually undermine values and attitudes worth caring about.  But to have this debate...",0.8456318378448486,0.23809523809523808,0.23809523809523808,0.3904761904761904,0.6095238095238096,0.06722689075630252
labs/experiment_dataset/segment_17.wav,faster_whisper_base.en_cpu_int8,medicine it 's a pill called bidil to treat heart failure in <unk>, medicine. It's a pill called BIDIL to treat heart failure in,0.7844579219818115,0.38461538461538464,0.38461538461538464,0.5524475524475524,0.4475524475524476,0.21212121212121213
labs/experiment_dataset/segment_1.wav,faster_whisper_base.en_cpu_int8,and the house next to it and actually every house on the block on both sides of the street maybe a school thrown in and some you know a church they are just incredibly expensive, and the house next to it and actually every house on the block on both sides of the street maybe a school thrown in and so  You know a church. They're just incredibly expensive,0.9227588176727295,0.14285714285714285,0.14285714285714285,0.24369747899159666,0.7563025210084033,0.03954802259887006
